wavelength,dark_current
899.83,1501.3
900.31,1503.5
900.79,1503.4
901.27,1499.3
901.75,1504.4
902.23,1501.5
902.72,1503.9
903.2,1501.35
903.68,1498.8
904.16,1500.3
904.64,1500.3
905.12,1502.7
905.6,1501.8
906.08,1502.9
906.56,1503
907.05,1498.1
907.53,1501.2
908.01,1499.7
908.49,1502.1
908.97,1502.2
909.45,1500.1
909.93,1503.7
910.42,1502
910.9,1502.5
911.38,1501.8
911.86,1498.3
912.34,1504.7
912.82,1504.2
913.31,1503.1
913.79,1503.2
914.27,1504.3
914.75,1501.4
915.23,1505.9
915.71,1503.3
916.2,1502.4
916.68,1504.6
917.16,1501.2
917.64,1499.4
918.12,1503.5
918.61,1500.1
919.09,1500.7
919.57,1497.8
920.05,1504.5
920.54,1503.8
921.02,1502.5
921.5,1501.3
921.98,1497.6
922.46,1504.1
922.95,1499.7
923.43,1501.9
923.91,1503.3
924.39,1503.7
924.88,1502.5
925.36,1501.8
925.84,1501.9
926.33,1501.1
926.81,1501.2
927.29,1501.6
927.77,1503
928.26,1502.4
928.74,1499.1
929.22,1506.1
929.71,1498.2
930.19,1502.5
930.67,1504
931.15,1501.9
931.64,1503.3
932.12,1503.1
932.6,1499.6
933.09,1501.2
933.57,1503
934.05,1500.5
934.54,1503.2
935.02,1503
935.5,1501.8
935.99,1502
936.47,1497.3
936.95,1505.3
937.44,1503.7
937.92,1502.3
938.4,1502.8
938.89,1501.6
939.37,1497.9
939.86,1505.3
940.34,1500.5
940.82,1503.1
941.31,1502.8
941.79,1503.9
942.27,1502.4
942.76,1500.1
943.24,1505.5
943.73,1503.3
944.21,1502.7
944.69,1504.1
945.18,1505
945.66,1504.5
946.15,1500
946.63,1501.6
947.12,1499
947.6,1501.8
948.08,1501.6
948.57,1502.7
949.05,1502.5
949.54,1502.2
950.02,1497.6
950.51,1497.4
950.99,1504.2
951.47,1500.8
951.96,1502.1
952.44,1500.4
952.93,1502.7
953.41,1501.3
953.9,1504.7
954.38,1501.6
954.87,1503.6
955.35,1504.6
955.84,1502.1
956.32,1504.2
956.81,1502.4
957.29,1500.2
957.78,1506
958.26,1505.3
958.75,1501.6
959.23,1498.8
959.72,1501.4
960.2,1499.8
960.69,1502.4
961.17,1503.8
961.66,1504.1
962.14,1502.4
962.63,1500.7
963.11,1499.2
963.6,1499.9
964.09,1503.2
964.57,1501.9
965.06,1499.3
965.54,1503.8
966.03,1501
966.51,1503.8
967,1498.9
967.49,1499.4
967.97,1499.8
968.46,1502.5
968.94,1503.2
969.43,1502
969.91,1505.7
970.4,1502
970.89,1503.8
971.37,1501.7
971.86,1502.6
972.34,1503.2
972.83,1501.8
973.32,1500.7
973.8,1499.5
974.29,1498.3
974.78,1501
975.26,1499.9
975.75,1500.9
976.23,1494
976.72,1500.3
977.21,1504.7
977.69,1501.2
978.18,1499.6
978.67,1503.6
979.15,1503.1
979.64,1501.2
980.13,1499.2
980.61,1502.7
981.1,1501
981.59,1503.6
982.07,1502.8
982.56,1501.5
983.05,1502.6
983.53,1504.5
984.02,1501.8
984.51,1499.2
985,1502.4
985.48,1502.6
985.97,1498.4
986.46,1501.2
986.94,1503.3
987.43,1505.5
987.92,1501.6
988.41,1503.5
988.89,1502.7
989.38,1501.1
989.87,1500
990.36,1500
990.84,1501.8
991.33,1501.2
991.82,1502.7
992.31,1503.1
992.79,1504.8
993.28,1503.3
993.77,1499.5
994.26,1497.5
994.74,1502.3
995.23,1499.6
995.72,1506.9
996.21,1501.3
996.69,1504
997.18,1503.3
997.67,1501.4
998.16,1501.1
998.65,1503.6
999.13,1502.4
999.62,1505.5
1000.11,1504.6
1000.6,1503.8
1001.09,1500.3
1001.58,1504
1002.06,1501.1
1002.55,1500.4
1003.04,1503.5
1003.53,1495.1
1004.02,1502.9
1004.51,1501.6
1004.99,1501.7
1005.48,1504.5
1005.97,1496
1006.46,1502.2
1006.95,1503
1007.44,1503.2
1007.93,1502.6
1008.41,1502.8
1008.9,1501.6
1009.39,1501.5
1009.88,1502.5
1010.37,1503.6
1010.86,1503.8
1011.35,1503.7
1011.84,1503.4
1012.33,1506.2
1012.81,1504.1
1013.3,1500.4
1013.79,1503.3
1014.28,1504.6
1014.77,1506.6
1015.26,1501.7
1015.75,1501.3
1016.24,1503.3
1016.73,1502.3
1017.22,1501.9
1017.71,1502.7
1018.2,1502.2
1018.69,1502.7
1019.18,1496
1019.67,1499.5
1020.16,1502
1020.64,1499.6
1021.13,1501.8
1021.62,1502.7
1022.11,1500.3
1022.6,1503.4
1023.09,1498.9
1023.58,1502.5
1024.07,1502.8
1024.56,1502.3
1025.05,1497.7
1025.54,1503.9
1026.03,1502.3
1026.52,1501.9
1027.01,1502.9
1027.5,1503.4
1027.99,1502.9
1028.48,1502.4
1028.97,1503.7
1029.46,1504.1
1029.95,1501.9
1030.44,1501.7
1030.94,1501.7
1031.43,1500.3
1031.92,1501.9
1032.41,1501.3
1032.9,1500.9
1033.39,1501.6
1033.88,1498.8
1034.37,1501
1034.86,1497.8
1035.35,1504
1035.84,1498.1
1036.33,1503.6
1036.82,1503.9
1037.31,1503.8
1037.8,1501.8
1038.3,1501.2
1038.79,1501.4
1039.28,1504.5
1039.77,1501.2
1040.26,1504
1040.75,1503.5
1041.24,1500.7
1041.73,1502.2
1042.22,1502.6
1042.72,1503.8
1043.21,1502.8
1043.7,1504.2
1044.19,1495.2
1044.68,1500.6
1045.17,1503.8
1045.66,1502.8
1046.15,1500.8
1046.65,1499.9
1047.14,1500.8
1047.63,1503.5
1048.12,1499.8
1048.61,1500.5
1049.1,1502.6
1049.6,1504.2
1050.09,1500.4
1050.58,1500.8
1051.07,1503.9
1051.56,1504.2
1052.06,1505.3
1052.55,1504.1
1053.04,1501.7
1053.53,1504.2
1054.02,1500.9
1054.52,1503.8
1055.01,1502.1
1055.5,1501.3
1055.99,1501.4
1056.48,1504
1056.98,1504.7
1057.47,1502.3
1057.96,1502.7
1058.45,1501.7
1058.95,1498.1
1059.44,1500.3
1059.93,1504.5
1060.42,1501.9
1060.92,1498.4
1061.41,1503.6
1061.9,1504.2
1062.39,1500.7
1062.89,1500.9
1063.38,1500
1063.87,1503.4
1064.37,1505.6
1064.86,1497.4
1065.35,1503.3
1065.84,1504.1
1066.34,1504.8
1066.83,1503
1067.32,1502.9
1067.82,1502.3
1068.31,1496.7
1068.8,1504
1069.3,1501.9
1069.79,1500.8
1070.28,1502.9
1070.77,1502
1071.27,1501.6
1071.76,1499.1
1072.26,1502.8
1072.75,1501.8
1073.24,1502.2
1073.74,1501.6
1074.23,1500.5
1074.72,1501.5
1075.22,1501.2
1075.71,1502.6
1076.2,1500.8
1076.7,1503
1077.19,1502.8
1077.68,1503.4
1078.18,1500.8
1078.67,1499.7
1079.17,1492.2
